Angka Partisipasi Murni (APM) SD/MI,Angka Partisipasi Murni (APM) SMP/MTs,Angka Partisipasi Murni (APM) SM/MA
 92.11 , 50.03 , 33.22 
 91.45 , 50.96 , 32.60 
 91.46 , 54.53 , 34.80 
 92.34 , 57.84 , 36.61 
 92.09 , 56.96 , 37.23 
 92.70 , 59.23 , 38.49 
 92.28 , 60.27 , 39.33 
 92.88 , 60.47 , 37.13 
 92.70 , 61.64 , 38.11 
 92.55 , 63.49 , 40.56 
 93.04 , 65.24 , 42.96 
 93.25 , 65.37 , 43.50 
 93.54 , 66.52 , 43.77 
 93.75 , 66.64 , 44.56 
 93.99 , 66.98 , 44.75 
 94.37 , 67.40 , 45.06 
 94.72 , 67.62 , 45.48 
 90.98 , 68.22 , 47.93 
 92.47 , 70.82 , 51.77 
 95.52 , 73.73 , 54.12 
 96.37 , 77.43 , 59.24 
 96.20 , 77.45 , 59.46 
 96.71 , 77.89 , 59.85 
 97.14 , 78.30 , 60.19 
 97.48 , 78.75 , 60.53 
 97.58 , 79.35 , 60.70 
 97.65 , 80.02 , 61.03 
